reaction,flux
EX_mal__L_e,-0.0
EX_malt_e,-0.0
EX_malthx_e,-0.0
EX_maltpt_e,-0.0
EX_malttr_e,-0.0
EX_maltttr_e,-0.0
EX_man_e,-0.0
EX_cynt_e,-0.0
EX_man6p_e,-0.0
EX_manglyc_e,-0.0
EX_melib_e,-0.0
EX_cys__D_e,-0.0
EX_meoh_e,7.237010258033171e-06
EX_met__D_e,-0.0
EX_arbt_e,-0.0
EX_arbtn_e,0.0
EX_arbtn_fe3_e,0.0
EX_met__L_e,-0.0
EX_cys__L_e,-0.0
EX_metsox_R__L_e,-0.0
EX_metsox_S__L_e,-0.0
EX_mg2_e,-0.029863522829773878
EX_mincyc_e,-0.0
EX_minohp_e,-0.0
EX_mmet_e,-0.0
EX_arg__L_e,-0.0
EX_ascb__L_e,-0.0
EX_asn__L_e,-0.0
EX_aso3_e,-0.0
EX_asp__L_e,-0.0
EX_btn_e,-0.0
EX_but_e,-0.0
EX_mn2_e,-0.002380976374892913
EX_mnl_e,-0.0
EX_mobd_e,-0.0004957352026752722
EX_mso3_e,-0.0
EX_n2o_e,-0.0
EX_na1_e,-0.0
EX_nac_e,-0.0
EX_nh4_e,-616.8735928648489
EX_butso3_e,-0.0
EX_ca2_e,-0.01791883739883815
EX_cbi_e,-0.0
EX_cytd_e,-0.0
EX_cbl1_e,-0.0008069266437706986
EX_cd2_e,-0.0
EX_cgly_e,-0.0
EX_ni2_e,-0.0011108810746080916
EX_nmn_e,-0.0
EX_no_e,-0.0
EX_no2_e,-0.0
EX_no3_e,-0.0
EX_novbcn_e,-0.0
EX_o16a4colipa_e,-0.0
EX_o2_e,-791.0255049614842
EX_o2s_e,-0.0
EX_ocdca_e,-0.0
EX_ocdcea_e,-0.0
EX_octa_e,-0.0
EX_orn_e,-0.0
EX_orot_e,-0.0
EX_pacald_e,-0.0
EX_peamn_e,-0.0
EX_phe__L_e,0.34859308816930534
EX_pheme_e,1.9983861467124586
EX_chol_e,-0.0
EX_chtbs_e,-0.0
EX_cit_e,-0.0
EX_cl_e,-0.01791883739889013
EX_pi_e,-15.442314433394234
EX_dad_2_e,-0.0
EX_pnto__R_e,-0.0
EX_ppa_e,-0.0
EX_damp_e,-0.0
EX_ppal_e,-0.0
EX_dca_e,-0.0
EX_pppn_e,-0.0
EX_ppt_e,-0.0
EX_dcmp_e,-0.0
EX_pro__L_e,1.2227523352974956
EX_dcyt_e,-0.0
EX_progly_e,-0.0
EX_psclys_e,-0.0
EX_ddca_e,-0.0
EX_pser__L_e,-0.0
EX_ptrc_e,-0.0
EX_dgmp_e,-0.0
EX_dgsn_e,-0.0
EX_val__L_e,-0.0
EX_xan_e,-0.0
EX_dha_e,-0.0
EX_xmp_e,-0.0
EX_dimp_e,-0.0
EX_din_e,-0.0
EX_xtsn_e,-0.0
EX_pydam_e,-0.0
EX_xyl__D_e,-0.0
EX_xylu__L_e,-0.0
EX_zn2_e,-0.0011723956618013736
12DGR120tipp,2.0
12DGR140tipp,2.0
12DGR141tipp,2.0
12DGR160tipp,1.9403417059379036
12DGR161tipp,1.9535962902254913
12DGR180tipp,1.5
EX_pydx_e,-0.0
EX_pydxn_e,-0.0
EX_pyr_e,-1000.0
EX_quin_e,-0.0
EX_r5p_e,-0.0
EX_rfamp_e,-0.0
EX_rib__D_e,-0.0
EX_rmn_e,-0.0
EX_sbt__D_e,-0.0
EX_sel_e,-0.0
EX_ser__D_e,-0.0
EX_ser__L_e,-0.0
EX_skm_e,-0.0
12DGR181tipp,1.5
12PPDRtex,-1.0
12PPDRtpp,-1.0
EX_dms_e,-0.0
12PPDStex,0.0
12PPDStpp,0.0
14GLUCANabcpp,0.0
EX_slnt_e,-0.0
EX_so2_e,-0.0
EX_so3_e,-0.0
EX_dmso_e,-0.0
EX_so4_e,-1.8873985793348953
EX_spmd_e,0.9755968014099121
EX_succ_e,-541.3819791592954
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
EX_sucr_e,-0.0
EX_sulfac_e,-0.0
23CGMPtex,0.0
EX_tartr__D_e,-0.0
23CUMPtex,0.0
EX_dopa_e,-0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
EX_tartr__L_e,-0.0
EX_taur_e,-0.0
EX_tcynt_e,-0.0
23PDE7pp,0.0
23PDE9pp,0.0
EX_doxrbcn_e,-0.0
26DAHtex,0.0
2AGPA120tipp,0.0
EX_thm_e,-0.0
EX_thr__L_e,-0.0
EX_dtmp_e,-0.0
EX_thrp_e,-0.0
2AGPA140tipp,0.0
2AGPA141tipp,0.0
EX_thym_e,0.9102429802747436
EX_dump_e,-0.0
EX_thymd_e,-0.0
2AGPA160tipp,0.0
2AGPA161tipp,0.0
EX_tma_e,-0.0
EX_duri_e,-0.0
EX_tmao_e,-0.0
EX_tre_e,-0.0
EX_trp__L_e,0.800135487703898
2AGPA180tipp,0.0
2AGPA181tipp,0.0
2AGPE120tipp,1.0
2AGPE140tipp,1.0
2AGPE141tipp,0.0
2AGPE160tipp,0.8401923394821116
EX_tsul_e,-0.0
EX_eca4colipa_e,1.0
EX_ttdca_e,-0.0
2AGPE161tipp,0.8757043488182803
2AGPE180tipp,0.0
2AGPE181tipp,0.0
2AGPEAT120,0.0
EX_ttdcea_e,-0.0
EX_enlipa_e,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.0
EX_ttrcyc_e,-0.0
EX_enter_e,0.0
2AGPEAT161,0.0
EX_etha_e,-0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
EX_tungs_e,-0.0
EX_tym_e,-0.0
2AGPG120tipp,0.0
EX_ethso3_e,-0.0
2AGPG140tipp,0.0
2AGPG141tipp,0.0
2AGPG160tipp,0.0
2AGPG161tipp,0.0
EX_tyr__L_e,0.51433871560391
EX_tyrp_e,-0.0
EX_uacgam_e,-0.0
EX_udpacgal_e,-0.0
EX_udpg_e,-0.0
2AGPG180tipp,0.0
2AGPG181tipp,0.0
2AGPGAT120,0.0
EX_udpgal_e,-0.0
EX_etoh_e,1.0
EX_udpglcur_e,-0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT160,0.0
2AGPGAT161,0.0
EX_ump_e,-0.0
2AGPGAT180,0.0
EX_f6p_e,-0.0
2AGPGAT181,0.0
EX_ura_e,-0.0
2DGULRGx,0.0
EX_urea_e,1.0
2DGULRGy,0.0
EX_fald_e,-0.0
2DGULRx,0.0
2DGULRy,0.0
EX_uri_e,1.0
2MAHMP,0.0
34dhpactex,0.0
EX_fe2_e,-352.0087673436777
3AMACHYD,0.0
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
EX_fe3_e,349.954196667827
3HAD100,5.0
EX_fe3dcit_e,-0.0
3HAD120,3.0
5DOAN,1.0
EX_fe3dhbzs_e,-0.0
5MTRtex,-1.0
5MTRtpp,1.0
3HAD121,3.0
3HAD140,2.0
A5PISO,11.175915182967868
EX_fe3hox_e,0.0
AACPS1,8.073210373830626
AACPS2,2.0
3HAD141,3.0
EX_fe3hox_un_e,0.0
AACPS3,3.119316588124193
AACPS4,7.13652335807303
AACPS5,2.0
3HAD160,2.0
AACPS6,2.0
EX_fecrm_e,0.0
AACPS7,23.322335930629123
3HAD161,2.0
AACPS8,1.0
EX_fecrm_un_e,0.0
AACPS9,2.0
3HAD180,2.0
3HAD181,2.0
AACTOOR,2.0
AADDGT,4.0
AAMYL,0.0
AAMYLpp,0.0
AB6PGH,0.0
ABTA,1.0
ABUTD,0.0
3HAD40,3.0
3HAD60,3.0
3HAD80,3.0
3HCINNMH,0.0
3HPPPNH,0.0
ABUTt2pp,1000.0
EX_feenter_e,0.0
ABUTtex,0.0
3HPPtex,0.0
3HPPtpp,0.0
ACACCT,0.0
ACACT1r,29.395557159978377
3KGK,-0.0
ACACT2r,29.395557159978377
EX_feoxam_e,0.0
ACACT3r,28.395557159978377
ACACT4r,26.39554630445975
3NTD2pp,0.0
3NTD4pp,0.0
EX_feoxam_un_e,0.0
ACACT5r,25.39554630445975
EX_for_e,999.0
ACACT6r,5.073210373830627
3NTD7pp,0.0
3NTD9pp,0.0
EX_fru_e,-574.6233292636045
3OAR100,5.0
ACACT7r,1.0
EX_frulys_e,-0.0
ACACT8r,3.8240465695964394
ACACt2pp,0.0
ACACtex,0.0
3OAR120,3.0
3OAR121,3.0
3OAR140,22.29284149532251
ACALD,54.35315890151946
3OAR141,3.0
EX_fruur_e,-0.0
3OAR160,2.0
ACALDtex,0.0
EX_fuc__L_e,-0.0
3OAR161,2.0
EX_fum_e,0.0
ACALDtpp,0.0
3OAR180,2.0
EX_fusa_e,-0.0
ACANTHAT,0.0
3OAR181,2.0
ACBIPGT,0.0
EX_g1p_e,-0.0
ACCOAC,54.29297538000257
3OAR40,3.0
EX_g3pc_e,-0.0
3OAR60,3.0
ACCOAL,1000.0
ACGAL1PPpp,0.0
3OAR80,3.0
EX_g3pe_e,-0.0
ACGAL1Ptex,0.0
ACGALtex,0.0
ACGAM1PPpp,0.0
3OAS100,5.0
ACGAM1Ptex,0.0
ACGAMK,64.07725391180065
ACGAMT,4.0
3OAS120,3.0
3OAS121,3.0
3OAS140,22.29284149532251
ACGAptspp,0.0
EX_g3pg_e,-0.0
ACGAtex,0.0
ACGK,3.160418409824329
ACGS,3.160418409824329
3OAS141,3.0
3OAS160,2.0
3OAS161,2.0
ACHBS,1.021525708952156
EX_g3pi_e,-0.0
3OAS180,2.0
ACKr,-855.6661843917407
EX_g3ps_e,-0.0
ACLS,3.074057610294489
ACM6PH,64.07725391180065
ACMAMUT,4.0
3OAS181,2.0
EX_g6p_e,-0.0
3OAS60,3.0
ACMANAptspp,0.0
EX_gal_e,-0.0
ACMANAtex,0.0
ACMUMptspp,0.0
3OAS80,3.0
3OXCOAT,0.0
ACMUMtex,0.0
EX_gal_bD_e,-0.0
ACNAMt2pp,0.0
3PEPTabcpp,1.0
3PEPTtex,0.0
3UMPtex,0.0
EX_gal1p_e,-0.0
42A12BOOXpp,0.0
ACNAMtex,0.0
ACNML,0.0
ACOAD1f,-29.395557159978377
4HOXPACDtex,0.0
4HTHRS,0.0
ACOAD2f,-29.395557159978377
EX_galct__D_e,-0.0
ACOAD3f,-28.395557159978377
ACOAD4f,-26.39554630445975
4PCP,0.0
4PCPpp,0.0
ACOAD5f,-25.39554630445975
4PEPTabcpp,0.0
EX_galctn__D_e,-0.0
4PEPTtex,-60.07725391180065
5DGLCNR,-999.0
ACOAD6f,-6.073210373830627
ACOAD7f,3.3851146604364697
ACOAD8f,2.0
ACOATA,1.0
5DGLCNt2rpp,0.0
5DGLCNtex,0.0
ACODA,2.160418409824329
EX_galctn__L_e,-0.0
ACOLIPAabctex,0.0
ACONIs,-0.0
EX_galt_e,-0.0
ACONMT,0.0
ACONTa,166.25466564886
ACONTb,166.25466564886
ACOTA,-2.160418409824329
ACPPAT120,1.0
AGM4PCPpp,0.0
AGM4PH,0.0
AGM4Pt2pp,1.0
AGMH,64.07725391180065
ACPPAT140,1.0
EX_galur_e,-0.0
ACPPAT141,1.0
ACPPAT160,1.0
AGMHE,4.117977741226457
AGMT,1.0
ACPPAT161,1.0
AGMt2pp,61.07725391180065
EX_gam_e,-0.0
AGMtex,0.0
ACPPAT180,1.5
ACPPAT181,1.0
ACPS1,-0.0
AGPAT120,1.0
AGPAT140,1.0
EX_gam6p_e,-0.0
ACS,1.0
ACSERtex,0.0
AGPAT141,1.0
EX_gbbtn_e,-0.0
ACSERtpp,0.0
AGPAT160,1.0596582940620964
EX_gdp_e,-0.0
AGPAT161,1.0464037097745087
AGPAT180,1.5
AGPAT181,1.5
AGPR,-3.160418409824329
ACt2rpp,-1000.0
ACt4pp,1.0
ACtex,-999.0
ADA,0.0
ADCL,0.003227706575082808
AGt3,-0.0
AHCYSNS,1.004848796872882
ADCS,0.003227706575082808
AICART,49.36463162517066
AMALT3,0.0
AIRC2,48.36463162517066
AIRC3,-48.36463162517066
AKGDH,81.05451154453338
AKGt2rpp,-1.0
AKGtex,-1.0
ALAALAD,0.0
ALAALAabcpp,2.002189195603055
ADD,0.0
ADEt2rpp,-1.0
ADEtex,-1.0
ADK1,1000.0
ADK3,-853.6704981069506
ADK4,-1.0
ADMDC,1.0
ADNCYC,1.0
ADNK1,1.0
ALAALAr,62.174852232140495
ALAALAtex,0.0
ALAGLUE,1.0
ALAR,62.165118453343446
ADNUC,1.0
ADNt2pp_copy1,999.0
ADNt2pp_copy2,-1000.0
ADNtex,-1.0
ADOCBIK,0.0
ADOCBLS,-0.0
ALATA_D2,1.0
ALATA_L,-1.0
ALATA_L2,501.256533694525
ALATRS,0.0
ALAabcpp,0.0
ALAt2pp_copy1,3.9967722934249172
ADOCBLabcpp,0.0
ADOCBLtonex,0.0
ALAt2pp_copy2,-1000.0
AMALT4,0.0
ALAt4pp,996.0032277065751
ALAtex,0.0
ALCD19,0.0
ALCD2x,-1.0
ADPRDP,0.0
ADPT,1.0
ADSK,1.872468627172573
ADSL1r,6.717571278106668
ADSL2r,48.36463162517066
ADSS,6.717571278106668
AGDC,128.1545078236013
ALDD19xr,0.0
ALDD2x,0.0
AMANAPEr,-0.0
ALDD2y,0.0
ALDD3y,0.0
ALDD4,0.0
AGM3PA,2.0
AGM3PApp,1.0
AGM3PH,0.0
AGM3Pt2pp,2.0
AGM4PA,1.0
ALLK,0.0
ALLPI,0.0
ALLTAMH,0.0
ALLTN,0.0
ALLTNt2rpp,0.0
AGM4PApp,60.07725391180065
AGM4PCP,0.0
ALLTNtex,0.0
AMANK,-0.0
ALLULPE,0.0
AMAOTr,7.237010258033171e-06
ALLabcpp,0.0
ALLtex,0.0
AMMQLT8,0.0008069266437706986
ALPATE160pp,0.0
ASCBptspp,0.0
ASCBtex,0.0
ALPATG160pp,0.0
AMPMS2,0.0008069266437706986
ALR2,1.0
ALR4x,1.0
ASNN,1.0
ASNNpp,0.0
AMPN,1.995151203127118
ASNS1,1.0
ALTRH,-0.0
AM3PA,0.0
ASNS2,0.8475696933798128
AMPTASECG,1.0
AM4PA,0.0
ASNTRS,0.0
AM4PCP,0.0
AMALT1,0.0
ASNabcpp,0.0
ASNt2rpp,0.0
ASNtex,0.0
AMALT2,0.0
ASO3t8pp,-0.0
AMPTASEPG,0.0
ASO3tex,0.0
ASP1DC,0.002084258954310817
AMPtex,0.0
ASPCT,3.0693370172218524
ANHGMtex,0.0
ASPK,65.83832090589024
ASPO3,0.0
ANHMK,64.07725391180065
ASPO4,0.0
ASPO5,0.0
ANPRT,2.0
ASPO6,0.008246573189027705
ANS,2.0
AOBUTDs,2.0
AOXSr2,7.237010258033171e-06
ASPT,1.0
CAT,0.0
ASPTA,-128.73536178947433
AP4AH,0.0
ASPTRS,0.0
CAt6pp,-1000.0
CBIAT,0.0
AP4AS,0.0
CBItonex,0.0
AP5AH,-0.0
CBIuabcpp,0.0
ASPabcpp,0.0
ASPt2_2pp,1.0
ASPt2_3pp,0.0
ASPt2pp_copy1,0.0
CBL1abcpp,0.0008069266437706986
CBL1tonex,0.0008069266437706986
APCS,0.0
CBLAT,0.0008069266437706986
CBMD,0.0
CBMKr,4.109367761403799
CBPS,1.0
ASPt2pp_copy2,-1.0
ASPtex,0.0
ASR,-0.0
AST,0.0
ATHRDHr,-1.0
ATPHs,1.0
ATPM,8.39
CCGS,0.0
CD2abcpp,0.0
CD2t3pp,0.0
CD2tex,0.0
ATPPRT,1.0
APG3PAT120,0.0
ATPS4rpp,1000.0
BALAt2pp,0.0
BALAtex,0.0
BETALDHx,0.0
CD2tpp,0.0
CDAPPA120,0.0
CDAPPA140,0.0
CDAPPA141,0.0
CDAPPA160,0.0
CDAPPA161,0.0
CDAPPA180,0.0
CDAPPA181,0.0
CDGR,0.0
BETALDHy,0.0
BMOCOS,0.00041974659496592394
BMOGDS1,0.00041974659496592394
BMOGDS2,0.00041974659496592394
BPNT,1.872468627172573
BSORx,0.0
BSORy,0.0
CDGS,0.0
CDPMEK,0.023976214984863894
BTNt2ipp,0.0
APG3PAT140,0.0
BTNtex,0.0
BTS5,7.237010258033171e-06
BUTCT,0.0
CFAS160E,0.0
CFAS160G,0.0
CFAS180E,0.0
BUTSO3abcpp,0.0
BUTSO3tex,0.0
CFAS180G,0.0
APG3PAT141,0.0
CGLYabcpp,1.0
CGLYtex,0.0
CHLabcpp,0.0
CHLt2pp,0.0
CHLtex,0.0
BUTt2rpp,0.0
BUTtex,0.0
BWCOGDS1,0.0
BWCOGDS2,0.0
BWCOS,0.0
CA2t3pp,999.9820811626012
CA2tex,0.01791883739883815
CADVtpp,0.0
CHOLD,0.0
CHORM,2.0
CHORS,4.008876193081478
CHRPL,0.0008069266437706986
CHTBSptspp,0.0
CHTBStex,0.0
CINNDO,-0.0
CITL,0.0
CLt3_2pp,0.008959418699445065
CITt3pp,0.0
APG3PAT160,0.0
CITt7pp,0.0
CITtex,0.0
CLtex,0.01791883739889013
CMPN,0.0
CMPtex,0.0
CLIPAabctex,4.043715938524013
APG3PAT161,0.0
CLPNH120pp,2.0
CLPNH140pp,2.0
CLPNH141pp,2.0
CMtex,0.0
CMtpp,0.0
CO2tex,-1000.0
CLPNH160pp,1.9403417059379036
CO2tpp,-999.0
COBALT2abcpp,0.0
COBALT2t3pp,0.0
COBALT2tex,8.684412309639805e-05
CLPNH161pp,1.9535962902254913
CLPNH180pp,1.5
CLPNH181pp,1.5
CLPNS120pp,2.0
CLPNS140pp,2.0
COBALT2tpp,8.684412309639805e-05
APG3PAT180,0.5
COLIPAKpp,0.0
CLPNS141pp,2.0
CLPNS160pp,1.9509945850377284
APG3PAT181,0.0
CLPNS161pp,1.9618826669709393
COLIPAPabctex,0.0
COLIPAabcpp,1.0294944353066142
APH120,1.0
COLIPAabctex,0.02949443530661422
CLPNS180pp,1.5
APH140,1.0
CLPNS181pp,1.5042698360522395
CPGNR1,0.0
APH141,1.0
APH160,1.0
CPGNR2,0.0
CPGNR3,0.0
APH161,1.0
CYANSTpp,0.0
CPGNUtex,0.0
APH180,1.0
APH181,1.0
CPGNUtpp,0.0
APPLDHr,0.0
CPGNabcpp,0.0
CPGNexs,0.0
CPGNtonex,0.0
CPH4S,0.0
CPMPS,0.0008901522617380801
CYANtex,0.0
CYNTAH,0.0
CYNTt2pp,0.0
CYNTtex,0.0
CYSDDS,0.0
CYSDS,1.0
CYSDabcpp,0.0
CYSDtex,0.0
CYSS,2.872468627172573
CYSSADS,-0.0
CPPPGO,1.5004179373424014
CPPPGO2,0.4995820626575986
CRNBTCT,-0.0
CRNCAL2,0.0
CRNCAR,0.0
CRNCBCT,0.0
CYSTL,1.5411872456008495
APRAUR,0.0016138532875420066
CYSTRS,0.0
CYSabc2pp,0.0
CRNCDH,0.0
CRNDCAL2,0.0
ARAI,0.0
CRNDabcpp,0.0
CYSabcpp,0.0
CYStex,0.0
ARBTNR1,0.0
CYStpp,0.0
CYTBD2pp,28.92435492343979
CYTBDpp,0.0
CYTBO3_4pp,1000.0
CYTD,0.0
CRNDt2rpp,0.0
CRNDtex,0.0
CRNabcpp,0.0
CRNt2rpp,0.0
CRNt7pp,-0.0
CYTDH,1.0
CRNt8pp,0.0
CYTDK2,1.0
ARBTNR2,0.0
CYTDt2pp_copy1,1000.0
CRNtex,0.0
CS,166.25466564886
CSND,1.0
CYTDt2pp_copy2,-1000.0
CYTDtex,0.0
CSNt2pp,0.0
ARBTNR3,0.0
CSNtex,0.0
CTBTCAL2,0.0
CTBTabcpp,0.0
CYTK1,31.201975656907045
CYTK2,1.0
D_LACt2pp,-743.4724191468066
D_LACtex,-743.4724191468066
CTBTt2rpp,-0.0
CTECOAI6,1.0
ARBTNabcpp,0.0
CTECOAI7,-4.38511466043647
CTECOAI8,1.8240465695964394
DAAD,1.0
DADA,1.0
DADK,1.0
DADNt2pp,0.0
DADNtex,0.0
DAGK120,2.0
CTPS2,2.5623808301414996
CU1Opp,0.0
CU1abcpp,0.0
CU2abcpp,0.0
CU2tex,0.0024388724569571786
DAGK140,2.0
ARBTNexs,0.0
DAGK141,2.0
DAGK160,1.9403417059379036
CU2tpp,0.0024388724569571786
CUt3,0.0
CUtex,0.0
DAGK161,1.9535962902254913
ARBTNtex,0.0
DAGK180,1.5
DAGK181,1.5
CYANST,0.0
DALAt2pp,63.184586010937544
ARBTNtonex,0.0
DALAtex,0.0
DAMPtex,0.0
DCYTt2pp,0.0
ARBTNtpp,0.0
DCYTtex,0.0
DDCAtexi,0.0
DAPAL,0.0
DAPDC,1.2065832982603224
DAPE,61.383624726003866
DAPabcpp,0.0
DDGALK,-0.0
DDGLCNt2rpp,0.0
DDGLCNtex,0.0
DDGLK,0.0
DDPA,4.008876193081478
DAPtex,0.0
DASYN120,3.0
DASYN140,3.0
DASYN141,3.0
DASYN160,3.0
DDPGALA,-0.0
DGK1,-43.79108124775639
DGMPtex,0.0
DASYN161,3.0
ARBTptspp,0.0
DASYN180,3.0
DASYN181,3.0
DGSNt2pp,0.0
DGSNtex,0.0
DHACOAH,0.0
DATPHs,1.0
DB4PS,0.0032277065750840133
DHAD1,3.074057610294489
ARBTtex,0.0
DHAD2,1.021525708952156
DHAPT,0.0
DBTS,7.237010258033171e-06
DC6PH,0.0
DCAtex,0.0
DHAtex,0.0
ARBabcpp,0.0
DHAtpp,0.0
DHBD,0.0024207799313120957
DHBS,1.0
DHBSH,0.9975792200686879
DHCIND,-0.0
DCMPtex,0.0
DCTPD,1.0
DCYTD,0.0
DHCINDO,0.0
ARBt2rpp,1.0
DHDPRy,61.383624726003866
DHDPS,61.383624726003866
ARBt3ipp,1.0
DHFR,1.0032277065750828
DHFS,0.003227706575082808
FFSD,0.0
ARBtex,0.0
DNMPPA,0.003227706575082808
DHMPTR,0.0
DHNAOT4,0.001613853287541397
DHNCOAS,0.001613853287541397
DNTPPA,0.003227706575082808
ARGAGMt7pp,-1.0
DOGULNR,-0.0
DHNCOAT,0.001613853287541397
DHNPA2r,0.003227706575082808
DOPAtex,0.0
ARGDC,0.0
DHNPTE,0.0
DOXRBCNtex,0.0
ARGDCpp,1.0
DOXRBCNtpp,0.0
DHORD2,1.0
ARGORNt7pp,0.0
DHORD5,2.0693370172218524
DHORDfum,0.0
DHORTS,-3.0693370172218524
DHPPD,0.0
DPCOAK,0.002084258954310817
DPR,0.002084258954310817
DRPA,46.701324228023175
DSBAO1,0.0
DHPPDA2,0.0016138532875420066
ARGSL,2.040030744181947
DHPS2,0.003227706575082808
DHPTDCs2,1.004848796872882
DSBAO2,0.0
DSBCGT,0.0
DSBDR,0.0
DHPTDNR,0.0
DHPTDNRN,0.0
ARGSS,2.040030744181947
DHPTPE,0.0
DHQS,4.008876193081478
DSBGGT,0.0
DSERDHr,-1.0
DSERt2pp,0.0
DSERtex,0.0
DHQTi,4.008876193081478
ARGTRS,0.0
DIMPtex,0.0
DINSt2pp,0.0
DTARTD,-0.0
ARGabcpp,0.0
DTMPK,1.0
DINStex,0.0
DKGLCNR1,0.0
DTMPtex,0.0
ARGt3pp,0.0
DUMPtex,0.0
DURADx,-0.0
DURIK1,0.0
DURIPP,1.0
DURIt2pp,0.0
DURItex,0.0
DKGLCNR2x,0.0
DUTPDP,2.0
ARGtex,0.0
DXPRIi,0.023976214984863894
DXPS,0.025590068272405293
DKGLCNR2y,0.0
DMATT,0.0034267243571787062
DMPPS,0.023976214984863894
DMQMT,0.0008069266437706986
DXYLK,-0.0
E4PD,0.0008069266437706986
DMSOR1,0.0
ASAD,-65.83832090589024
DMSOR1pp,0.0
DMSOR2,0.0
EAR100x,1.0
EAR100y,1.0
EAR120x,2.0
DMSOR2pp,0.0
EAR120y,1.0
DMSOtex,0.0
ASCBPL,0.0
DMSOtpp,0.0
DMStex,0.0
EAR121x,2.0
EAR121y,1.0
EAR140x,1.0
FCLK,-0.0
