"Reaction","WT_mean","mip6_mean","log2FC","p_value","FDR"
"13BGH",0,0,0,NA,1
"13GS",0.767391660507447,0.767391660507458,2.11426149251783e-14,4.30969165787427e-11,7.06360250979393e-11
"2DDA7Ptm",0,0,0,NA,1
"2DHPtm",0,0,0,NA,1
"2HBO",0.388366154558583,0.624144030791877,0.684460110330667,7.79826996356911e-22,1.52535651381295e-21
"2HBt2",0,0,0,NA,1
"2HBt2_rev",0.388366154558583,0.624144030791877,0.684460110330667,7.79826996356911e-22,1.52535651381295e-21
"2MBACt",0,0,0,NA,1
"2MBALDt",0,0,0,NA,1
"2MBALDtm",0,0,0,NA,1
"2MBTOHt",1.47694530609793,1.2218773550145,-0.273516714592645,7.79826996356911e-22,1.52535651381295e-21
"2MBTOHtm",0,0,0,NA,1
"2MPPALt",0,0,0,NA,1
"2MPPALtm",0,0,0,NA,1
"2OBUTtm",1.49484803316644,1.25907015693315,-0.247639972174269,7.79598320747168e-22,1.52535651381295e-21
"2OBUTtm_rev",0,0,0,NA,1
"2OXOADPtim",0,0,0,NA,1
"2PHETOHt",0,0,0,NA,1
"2PHETOHt_rev",0,0,0,NA,1
"2PHETOHtm",0,0,0,NA,1
"34HPPt2m",0,0,0,NA,1
"3C3HMPt",0,0,0,NA,1
"3C3HMPtm",0,0,0,NA,1
"3HAO",0,0,0,NA,1
"3MBALDt",0,0,0,NA,1
"3MBALDtm",0,0,0,NA,1
"3MOBDC",0.00927697433410982,0.013072211410088,0.494731819681605,3.11170647824114e-25,1.89096009062346e-24
"3MOBtm",0,0,0,NA,1
"3MOBtm_rev",0,0,0,NA,1
"3MOPDC",1.47694530609793,1.2218773550145,-0.273516714592645,7.79826996356911e-22,1.52535651381295e-21
"3MOPt",0,0,0,NA,1
"3MOPt_rev",0,0,0,NA,1
"3MOPtm",0,0,0,NA,1
"3MOPtm_rev",1.47694530609793,1.2218773550145,-0.273516714592646,7.80055736177764e-22,1.52535651381295e-21
"4ABZt",0,0,0,NA,1
"4HGLSDm",0,0,0,NA,1
"4MOPDC",0.00248693830906043,0.00200246220860104,-0.3124554164304,2.5694838324082e-25,1.78060721719515e-24
"6PGLter",0.00196108196639667,0.00196108196636954,-1.99485376960194e-11,0.00032912094001436,0.000414021564667745
"AABTN",0,0,0,NA,1
"AASAD1",0,0,0,NA,1
"AASAD2",0,0,0,NA,1
"AATA",0,0,0,NA,1
"ABTA",0,0,0,NA,1
"ABUTt2r",0,0,0,NA,1
"ABUTt2r_rev",0,0,0,NA,1
"ACACT1m",0.0089263041229162,0.00892630412285805,-9.39837284824801e-12,3.06687550972565e-05,4.10649432658181e-05
"ACACT1r",0,0,0,NA,1
"ACALDCD",5.15650773560823,5.97374976144478,0.212242440901976,1.88887388008588e-19,3.62186981861128e-19
"ACALDt",0,0,0,NA,1
