Met_id,Measured_ratio,Predicted_ratio,Error,Transition
ac_c,0.896265103507433,0.9257005164365774,0.02943541292914431,1
ac_c,0.9113049938121324,0.9113049938121324,0.0,2
ac_c,0.9759278834400016,0.9759278834400015,1.1102230246251565e-16,3
ac_c,0.8505493564362295,0.8505493564362294,1.1102230246251565e-16,4
ac_c,1.0023824914370838,1.0023824914370838,0.0,5
ac_c,1.0914773089315042,0.9507936044613872,0.14068370447011702,6
ac_c,1.0187097941743761,1.0187097941743761,0.0,7
ala__L_c,1.1289919354247164,1.1289919354247164,0.0,1
ala__L_c,0.948495770009046,0.9484957700090461,1.1102230246251565e-16,2
ala__L_c,1.1145385890362847,1.1145385890362847,0.0,3
ala__L_c,0.9556617638788647,0.9556617638788647,0.0,4
ala__L_c,1.0033875201151172,0.9926927700067327,0.010694750108384499,5
ala__L_c,0.9905421605204117,1.005566018724487,0.015023858204075369,6
ala__L_c,0.9980258196726487,0.9980258196726487,0.0,7
arg__L_c,0.9753652355871669,0.9740955939213681,0.001269641665798793,1
arg__L_c,0.9921605037928881,0.9921605037928882,1.1102230246251565e-16,2
arg__L_c,0.9747302080317078,0.9747302080317078,0.0,3
arg__L_c,0.9863847102649905,0.9863847102649905,0.0,4
arg__L_c,0.9918448444370538,0.9918448444370538,0.0,5
arg__L_c,0.9911990875616016,0.9911990875616016,0.0,6
arg__L_c,0.9854288908515827,0.9970030717629162,0.011574180911333554,7
asn__L_c,0.9252343646119134,0.9252343646119134,0.0,1
asn__L_c,0.7832060142008215,0.7832060142008215,0.0,2
asn__L_c,0.9314986547907196,0.9314986547907196,0.0,3
asn__L_c,0.7646146791206467,0.791495484413511,0.026880805292864296,4
asn__L_c,0.9907861322729624,0.9907861322729626,2.220446049250313e-16,5
asn__L_c,0.9974942400509288,0.9841231362441715,0.013371103806757323,6
asn__L_c,0.9738162430474787,0.9738162430474786,1.1102230246251565e-16,7
asp__L_c,1.0269037862174728,1.026903786217473,2.220446049250313e-16,1
asp__L_c,0.9810273687647566,0.9489200498792841,0.03210731888547247,2
asp__L_c,1.0278318533079023,1.0278318533079023,0.0,3
asp__L_c,0.9550985463620585,0.9729217836377321,0.017823237275673587,4
asp__L_c,1.0327316811429372,1.0327316811429375,2.220446049250313e-16,5
asp__L_c,1.0336650152092601,1.0317991898181862,0.0018658253910739386,6
asp__L_c,1.0063449653751866,1.0063449653751866,0.0,7
glc__D_c,0.828576820702606,1.1327688218363567,0.3041920011337508,1
glc__D_c,0.513026918030815,0.5521850445095403,0.0391581264787253,2
glc__D_c,0.9688064765412158,0.9688064765412158,0.0,3
glc__D_c,0.5322459878359234,0.5322459878359234,0.0,4
glc__D_c,1.0311042137129578,1.0311042137129578,0.0,5
glc__D_c,1.2056099268948683,1.2056099268948683,0.0,6
glc__D_c,1.2507746161701634,1.2507746161701634,0.0,7
cit_c,1.7958734160828824,1.5577726775537144,0.23810073852916802,1
cit_c,1.0212389296721964,1.0212389296721964,0.0,2
cit_c,1.2735418018748978,1.2735418018748978,0.0,3
cit_c,1.0926025869940863,1.0926025869940863,0.0,4
cit_c,1.5420915250045335,1.0233553887696551,0.5187361362348784,5
cit_c,1.0935726325822752,1.2517493039536087,0.1581766713713335,6
cit_c,1.1699909322971604,1.1699909322971604,0.0,7
etoh_c,1.0430822130011252,1.0430822130011252,0.0,1
etoh_c,0.9338070228090439,0.9338070228090439,0.0,2
etoh_c,0.9584388155318488,0.973485463336671,0.015046647804822122,3
etoh_c,1.008390494628849,1.0083904945906736,3.817546279094586e-11,4
etoh_c,1.0256444627468533,1.0256444627468533,0.0,5
etoh_c,0.9424160931702448,1.0989701811133736,0.15655408794312886,6
etoh_c,1.0176871742508455,1.0176871742508455,0.0,7
fdp_c,0.5904702139049294,0.9050108567932641,0.3145406428883347,1
fdp_c,1.8576448153713796,1.8576448153713794,2.220446049250313e-16,2
fdp_c,1.17683461047084,1.17683461047084,0.0,3
fdp_c,1.153913194336349,1.153913194336349,0.0,4
fdp_c,0.8221033359145854,0.8221033359145855,1.1102230246251565e-16,5
fdp_c,1.6384902003602024,0.6322149584902057,1.0062752418699967,6
fdp_c,1.0177809263330366,1.0177809263330366,0.0,7
glu__L_c,1.0084269484241248,1.0,0.008426948424124836,1
glu__L_c,1.0560224879300124,1.0482087066746075,0.007813781255404884,2
glu__L_c,0.9861002538882332,1.0121334680123186,0.026033214124085435,3
glu__L_c,1.05210834341926,1.0521083434192602,2.220446049250313e-16,4
glu__L_c,1.0103819670301937,1.0,0.010381967030193673,5
glu__L_c,0.9880119881460426,0.9880119881460427,1.1102230246251565e-16,6
glu__L_c,0.9843499243697874,0.9843499243697874,0.0,7
gln__L_c,1.1061043315199393,1.1061043315199393,0.0,1
gln__L_c,1.0772709631433963,1.0772709631433963,0.0,2
gln__L_c,0.9803646498928676,0.9803646498928675,1.1102230246251565e-16,3
gln__L_c,1.137783361958858,1.137783361958858,0.0,4
gln__L_c,1.069892811188363,0.9375460724357738,0.13234673875258918,5
gln__L_c,0.9482695812448932,1.0577939257948972,0.10952434455000393,6
gln__L_c,1.0015357223069574,1.0015357223069574,0.0,7
gthrd_c,1.0784644836103439,1.0784644836103439,0.0,1
gthrd_c,1.0555326729598016,1.0555326729598016,0.0,2
gthrd_c,1.0045791435332119,1.0045791435332119,0.0,3
gthrd_c,1.1693731771338451,1.0980790709436405,0.0712941061902046,4
gthrd_c,0.9195929863914525,0.9195929863914524,1.1102230246251565e-16,5
gthrd_c,0.856591894037792,0.9872277177806689,0.13063582374287686,6
gthrd_c,0.9489763891716299,0.9489763891716299,0.0,7
glyc_c,0.6442155057513835,0.914252844046987,0.2700373382956035,1
glyc_c,1.3153764415271805,1.0,0.3153764415271805,2
glyc_c,0.8743793920306616,0.8743793920306616,0.0,3
glyc_c,0.9326570132523997,1.0,0.06734298674760031,4
glyc_c,0.9563868438846486,0.9563868438846485,1.1102230246251565e-16,5
glyc_c,1.2980826130948604,1.0,0.2980826130948604,6
glyc_c,0.9203949642570103,1.0,0.07960503574298972,7
gly_c,0.9158134013141026,0.9158134013141026,0.0,1
gly_c,1.0917988760576753,1.0,0.09179887605767534,2
gly_c,1.0093388689208072,1.0093388689208072,0.0,3
gly_c,0.928474613673454,0.9389529722173492,0.010478358543895228,4
gly_c,1.0348415185755104,1.0348415185755104,0.0,5
gly_c,1.1405224758368162,0.9389529722173492,0.20156950361946702,6
gly_c,0.969909557850231,1.0,0.03009044214976897,7
g3pc_c,1.1168431514913415,1.1168431514913415,0.0,1
g3pc_c,1.071974512781858,1.071974512781858,0.0,2
